MSAID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
1747_902,-1.7519454369117076,106217426901.81134,2000.0,7.905,-279640609990.8772,10.0,-3482402207195.28,-27.587865823067112
1747_902,-1.7820572525364051,105928471332.14978,2000.0,7.905,-266357093090.25876,10.0,-3316980780831.138,-25.957072995747424
1747_902,-1.7650772452940406,106279114395.00882,2000.0,7.905,-248089438224.1684,10.0,-3089491212602.725,-24.30161803823151
1747_902,-1.7549044418053095,106190222570.75043,2000.0,7.905,-153122308021.2987,10.0,-1906852740171.0432,-15.08786905238852
1747_902,-1.8448899648989023,106441010844.82632,2000.0,7.905,-258605096897.0162,10.0,-3220444127394.4365,-24.308006355667963
1747_902,-1.80766024623145,104886317683.24184,2000.0,7.905,-377809561937.90137,10.0,-4704913397360.104,-36.71330687215533
1747_902,-1.7550630729662433,103769083177.05885,2000.0,7.905,-222860333130.16,10.0,-2775309766396.4585,-22.470072508010514
1747_902,-1.6872923999730378,105416600590.94727,2000.0,7.905,-230301780306.82443,10.0,-2867979111072.7866,-23.641690226045384
1747_902,-1.7772440418230615,106583582469.27904,2000.0,7.905,-266656784007.8774,10.0,-3320712872221.677,-25.888505751300812
1747_902,-1.6070412191345622,104773373917.24467,2000.0,7.905,-85224210326.2762,10.0,-1061308578022.2734,-9.161172028000482
1747_902,-1.749106378804526,104476342493.68399,2000.0,7.905,-113847729197.5408,10.0,-1417761116508.1519,-11.434937457225665
1747_902,-1.80214660108867,106353501806.15631,2000.0,7.905,-231570651480.2256,10.0,-2883780534818.2246,-22.253229076768243
1747_902,-1.7155884471318188,107215733041.56612,2000.0,7.905,-209694151297.697,10.0,-2611349529450.9043,-20.8689703424046
1747_902,-1.7115000049670117,105786753759.07521,2000.0,7.905,-170561040171.8836,10.0,-2124019622098.0466,-17.238743316377363
1747_902,-1.7006507456890019,105050835859.99341,2000.0,7.905,-225449645412.17798,10.0,-2807554821241.359,-23.070259637957285
1747_902,-1.764592220954136,104383575594.87494,2000.0,7.905,-237597074849.09424,10.0,-2958828397294.015,-23.70219753277175
1747_902,-1.675890097886861,102818802017.11995,2000.0,7.905,-126529461702.0444,10.0,-1575688440676.7842,-13.392889954187456
1747_902,-1.7827669665499417,106187693391.699,2000.0,7.905,-237907843925.35745,10.0,-2962698446487.3076,-23.119865714489436
1747_902,-1.6781963091570171,104291700089.6763,2000.0,7.905,-224599060853.687,10.0,-2796962377089.59,-23.410722236300643
1747_902,-1.6910791731661892,104842854221.35326,2000.0,7.905,-301032761151.603,10.0,-3748801548911.767,-31.013197073837887
1747_902,-1.6741639840109495,103886429303.12814,2000.0,7.905,-354563327020.0184,10.0,-4415424900715.582,-37.176056957608715
1747_902,-1.6962433888135022,105431009579.78072,2000.0,7.905,-182308055128.08298,10.0,-2270306782653.0146,-18.629135821202944
1747_902,-1.7426608355689808,105731667646.5565,2000.0,7.905,-199246804585.8591,10.0,-2481247312716.9844,-19.83841847107518
1747_1081,-1.3156557284706643,58425449336.41323,2000.0,7.838,-506533810270.4623,10.0,-6307934237710.768,-112.88567569500788
1747_1081,-1.4401486389533185,60388499029.48708,2000.0,7.838,-504571958707.56384,10.0,-6283503034122.786,-102.25567021321658
1747_1081,-1.3542076030996555,57075674584.223206,2000.0,7.838,-504333903725.98193,10.0,-6280538503151.05,-112.86649790682519
1747_1081,-1.451410062834561,59245021666.96891,2000.0,7.838,-478725930309.39685,10.0,-5961638937124.817,-98.33747322078628
1747_1081,-1.3264756881006108,60280753304.179375,2000.0,7.838,-642678465420.4132,10.0,-8003362092848.713,-138.0728747422295
1747_1081,-1.5646589694178674,61488964938.27859,2000.0,7.838,-577382091754.0652,10.0,-7190217495791.336,-108.01085523575489
1747_1081,-1.2786386352860701,57351075297.1909,2000.0,7.838,-479295924730.35223,10.0,-5968737154954.204,-110.84022222236032
1747_1081,-1.4902464627322995,60387309567.83956,2000.0,7.838,-570266656779.8683,10.0,-7101608019030.099,-112.72503459050935
1747_1081,-1.4996863636763722,57451243776.10796,2000.0,7.838,-558937705682.5397,10.0,-6960527054531.338,-115.58761053749794
1747_1081,-1.4427287387209546,60980500417.07004,2000.0,7.838,-435778840827.316,10.0,-5426813007125.406,-87.34456694182411
1747_1081,-1.381534936807437,58891627322.2483,2000.0,7.838,-293175095940.24896,10.0,-3650949231480.1084,-62.728311272244355
1747_1081,-1.470706267899727,59437796613.69833,2000.0,7.838,-603779427830.2795,10.0,-7518947102074.877,-122.44131784281963
1747_1081,-1.6305874638338858,59836159633.99333,2000.0,7.838,-537808518849.1099,10.0,-6697402425258.488,-100.04898481682903
1747_1081,-1.3774719447260801,57129801055.9163,2000.0,7.838,-457478669121.7119,10.0,-5697043911904.649,-101.10591977037214
1747_1081,-1.4505688770839984,61407586523.74039,2000.0,7.838,-495034279471.41284,10.0,-6164729021051.683,-98.14745738838948
1747_1081,-1.4257802949542926,57896432471.90536,2000.0,7.838,-539756665387.5842,10.0,-6721662958318.578,-114.9134812139488
1747_1081,-1.542470371040524,60137813726.39172,2000.0,7.838,-597931233991.4777,10.0,-7446118751041.704,-115.63829711425865
1747_1081,-1.5564171722627123,56871051024.0487,2000.0,7.838,-521443301266.2206,10.0,-6493604151173.734,-105.90070554537817
1747_1081,-1.4274749346143687,58978161330.72512,2000.0,7.838,-301020760198.10706,10.0,-3748652352547.7856,-62.85844467899494
1747_1081,-1.4108268166870332,58081048488.53683,2000.0,7.838,-487620088244.03394,10.0,-6072399092150.892,-104.2568656646427
